,class,x,y,w,h
0,t,1822,1165,221,85
2,t,2301,1156,222,69
3,t,2707,1182,435,102
4,t,3039,1421,281,94
5,t,3253,1523,266,120
6,t,2980,1694,207,94
7,t,3187,1754,140,107
8,t,3135,1925,258,94
9,t,3002,1959,118,94
10,t,3069,2083,118,81
11,t,2294,1643,376,68
12,t,590,1276,125,68
13,t,619,1404,207,34
14,t,1254,1673,221,64
15,t,1755,1801,148,72
16,t,1792,1878,133,72
17,t,2456,1873,222,99
18,t,2346,1963,191,115
19,t,2449,2078,96,81
20,t,2596,2108,133,86
21,t,1682,2014,250,30
22,t,1446,1899,125,73
23,t,1372,1933,74,43
24,t,1696,2070,148,42
