,x0,y0,x1,y1
0,2604,695,2715,734
1,2833,789,2995,857
2,2619,968,2729,1037
3,3010,1007,3216,1054
4,3275,1105,3600,1173
5,3681,1182,3924,1250
6,3969,1327,4242,1447
7,4146,1498,4308,1596
8,4308,1596,4308,1596
9,4094,1728,4256,1873
10,3851,1715,3961,1822
11,3792,1890,3924,1967
12,3253,1703,3438,1775
13,3386,1536,3541,1630
14,3106,1481,3305,1566
15,3260,1276,3401,1357
16,3585,1348,3703,1451
17,2523,1378,2685,1459
18,2759,1583,2877,1673
19,2656,1677,2796,1737
20,2818,1775,2921,1835
21,3120,1814,3260,1916
